code
AFN
EUR
ALL
DZD
USD
AOA
XCD
ARS
AMD
AWG
AUD
AZN
BSD
BHD
BDT
BBD
BYR
BZD
XOF
BMD
BTN
INR
BOB
BOV
BAM
BWP
NOK
BRL
BND
BGN
BIF
KHR
XAF
CAD
CVE
KYD
CLF
CLP
CNY
COP
COU
KMF
CDF
NZD
CRC
HRK
CUC
CUP
ANG
CZK
DKK
DJF
DOP
EGP
SVC
ERN
ETB
FKP
FJD
XPF
GMD
GEL
GHS
GIP
GTQ
GBP
GNF
GYD
HTG
HNL
HKD
HUF
ISK
IDR
XDR
IRR
IQD
ILS
JMD
JPY
JOD
KZT
KES
KPW
KRW
KWD
KGS
LAK
LBP
LSL
ZAR
LRD
LYD
CHF
MOP
MKD
MGA
MWK
MYR
MVR
MRO
MUR
XUA
MXN
MXV
MDL
MNT
MAD
MZN
MMK
NAD
NPR
NIO
NGN
OMR
PKR
